player_season_id,rank,similar_player_season_id,similarity
bundesliga_1fcheidenheim1846_janschoppner__2425,8,bundesliga_tsg1899hoffenheim_grischapromel__2526,0.9793
bundesliga_1fcheidenheim1846_janschoppner__2425,9,seriea_sassuolo_kristianthorstvedt__2324,0.9786
bundesliga_1fcheidenheim1846_janschoppner__2425,10,premierleague_nottinghamforest_ryanyates__2425,0.9784
bundesliga_1fcheidenheim1846_janschoppner__2526,1,bundesliga_1fcheidenheim1846_janschoppner__2425,0.9770
bundesliga_1fcheidenheim1846_janschoppner__2526,2,laliga_girona_yangelherrera__2324,0.9731
bundesliga_1fcheidenheim1846_janschoppner__2526,3,superlig_caykurrizespor_ibrahimolawoyin__2324,0.9728
bundesliga_1fcheidenheim1846_janschoppner__2526,4,premierleague_brightonandhovealbion_jackhinshelwood__2526,0.9691
bundesliga_1fcheidenheim1846_janschoppner__2526,5,bundesliga_svwerderbremen_jensstage__2425,0.9689
bundesliga_1fcheidenheim1846_janschoppner__2526,6,laliga_deportivoalaves_jonguridi__2324,0.9673
bundesliga_1fcheidenheim1846_janschoppner__2526,7,premierleague_crystalpalace_jeffersonlerma__2324,0.9646
bundesliga_1fcheidenheim1846_janschoppner__2526,8,premierleague_brentford_christiannorgaard__2324,0.9644
bundesliga_1fcheidenheim1846_janschoppner__2526,9,seriea_milan_rubenloftuscheek__2324,0.9638
bundesliga_1fcheidenheim1846_janschoppner__2526,10,premierleague_newcastleunited_joelinton__2526,0.9631
bundesliga_1fcheidenheim1846_jonasfohrenbach__2425,1,laliga_realoviedo_nachovidal__2526,0.9939
bundesliga_1fcheidenheim1846_jonasfohrenbach__2425,2,superlig_trabzonspor_erenelmali__2324,0.9913
bundesliga_1fcheidenheim1846_jonasfohrenbach__2425,3,ligue1_auxerre_gideonmensah__2425,0.9904
bundesliga_1fcheidenheim1846_jonasfohrenbach__2425,4,premierleague_westhamunited_vladimircoufal__2425,0.9899
bundesliga_1fcheidenheim1846_jonasfohrenbach__2425,5,ligue1_auxerre_gideonmensah__2526,0.9896
bundesliga_1fcheidenheim1846_jonasfohrenbach__2425,6,ligue1_brest_kennylala__2526,0.9896
bundesliga_1fcheidenheim1846_jonasfohrenbach__2425,7,superlig_ankaragucu_matejhanousek__2324,0.9890
bundesliga_1fcheidenheim1846_jonasfohrenbach__2425,8,laliga_mallorca_giovannigonzalez__2324,0.9886
bundesliga_1fcheidenheim1846_jonasfohrenbach__2425,9,ligue1_brest_kennylala__2324,0.9884
