x,y,count
78,30,1
78,11,1
78,3,1
78,2,2
78,16,2
78,22,1
78,0,1
78,6,2
78,4,2
78,7,1
78,13,2
78,35,1
86,0,3
86,4,1
86,6,1
86,3,1
86,15,1
86,18,1
86,32,1
86,12,1
86,10,1
86,2,1
86,25,1
86,7,1
86,5,1
86,8,1
69,21,2
69,3,1
69,8,4
69,12,1
69,0,3
69,19,1
69,32,1
69,29,1
69,22,1
69,16,1
69,18,1
69,5,1
69,4,1
69,2,1
31,5,1
31,29,3
31,28,1
31,14,3
31,11,2
31,3,1
31,0,7
31,7,1
31,33,1
31,21,1
31,38,1
31,1,2
31,12,1
31,13,1
31,2,1
31,9,1
31,30,1
31,19,2
31,4,1
31,15,2
31,6,1
31,36,1
13,12,1
13,18,2
13,46,1
13,11,1
13,4,1
13,6,4
13,9,2
13,36,1
13,51,1
13,0,2
13,39,1
13,32,1
13,33,2
13,29,1
13,13,2
13,17,2
13,55,1
13,3,1
13,31,1
62,15,1
62,0,4
62,45,1
62,11,2
62,7,1
62,4,1
62,36,2
62,30,1
62,12,1
62,2,1
62,57,1
62,22,1
62,37,1
8,47,3
8,14,2
8,6,2
8,3,2
8,0,4
8,12,1
8,13,2
8,10,3
8,1,1
8,48,1
8,23,1
8,35,1
8,46,2
8,45,1
8,38,1
8,39,1
8,44,2
8,40,1
8,16,1
8,17,2
8,30,2
8,41,2
8,43,1
8,42,2
8,34,1
8,15,1
97,7,1
97,27,1
97,23,1
97,18,1
97,19,1
97,0,2
23,28,1
23,10,3
23,0,9
23,21,2
23,8,2
23,9,1
23,27,1
23,24,2
23,90,1
23,6,1
23,42,1
23,41,1
23,30,1
23,2,1
23,4,2
23,14,1
23,5,1
23,7,2
23,19,1
1,34,1
1,47,1
1,30,1
75,12,1
75,10,1
75,7,2
75,33,2
75,14,1
75,9,1
75,0,1
75,20,1
75,5,1
75,48,1
75,18,1
75,21,2
75,22,1
75,19,1
75,11,1
77,0,5
77,15,1
77,6,2
77,9,2
77,5,1
77,8,2
77,7,2
77,13,1
77,18,1
82,17,2
82,3,3
82,13,2
82,32,1
82,8,1
82,11,2
82,0,1
82,5,1
82,10,1
66,6,5
66,13,2
66,55,1
66,23,1
66,0,3
66,14,2
66,30,1
66,19,1
66,12,1
66,7,1
66,8,2
66,25,1
66,15,1
66,29,1
66,34,1
66,4,1
73,0,6
73,23,1
73,4,2
73,8,3
73,1,1
73,12,2
73,7,2
73,44,1
73,6,1
73,3,1
73,13,1
73,5,2
73,10,1
73,11,2
73,39,1
73,33,1
73,14,1
57,29,1
57,21,1
57,0,5
57,20,2
57,11,2
57,22,1
57,12,1
57,7,4
57,19,1
57,30,1
57,16,2
57,5,2
57,55,1
57,4,2
57,13,1
57,63,1
57,33,1
22,91,1
22,9,3
22,0,5
22,12,1
22,14,3
22,5,3
22,15,2
22,23,3
22,19,1
22,24,1
22,21,1
22,6,1
22,8,1
22,4,1
22,49,2
20,93,1
20,34,1
20,25,2
20,13,1
20,0,4
20,2,1
20,7,2
20,28,2
20,43,1
20,5,1
20,24,1
20,32,1
20,10,1
20,12,2
20,17,2
20,14,1
20,6,2
20,16,1
20,11,1
20,18,1
20,3,1
50,9,1
50,5,1
50,0,1
50,14,1
50,19,1
50,39,2
9,0,3
9,10,2
9,36,1
9,50,2
9,35,1
9,16,3
9,3,1
9,12,2
9,23,1
9,39,1
9,20,1
9,29,2
9,15,1
9,43,1
9,31,1
9,33,2
9,18,1
9,11,2
9,32,1
9,40,1
9,17,1
9,27,1
9,41,1
9,4,1
2,26,1
2,38,1
2,8,1
2,12,2
2,40,1
2,13,1
2,14,1
2,25,1
2,22,1
2,41,1
2,15,1
2,7,1
2,6,2
2,29,1
2,42,1
2,24,1
2,28,1
84,0,4
84,6,2
84,9,1
84,5,1
84,4,2
84,19,1
84,3,4
84,28,1
84,12,1
16,51,1
16,12,1
16,11,1
16,10,1
16,21,1
16,0,3
16,9,1
16,23,1
16,17,1
16,19,1
16,8,1
18,51,1
18,0,6
18,5,3
18,6,2
18,2,1
18,3,1
18,7,2
18,9,1
18,27,1
18,8,1
18,12,2
18,18,1
76,13,2
76,8,2
76,11,1
76,0,2
76,17,1
76,7,1
76,6,1
76,4,1
25,0,4
25,20,1
25,19,2
25,33,2
25,26,2
25,11,1
25,83,1
25,48,1
25,32,1
25,27,1
25,5,3
25,47,1
25,41,1
25,2,1
25,21,2
25,24,1
25,56,1
25,8,3
25,9,1
25,12,1
25,10,2
25,70,1
25,3,3
25,6,1
25,4,1
25,18,1
25,16,1
25,45,1
25,30,1
25,14,1
85,19,1
85,0,8
85,16,1
85,4,1
85,6,1
85,12,1
85,8,2
85,9,2
85,10,1
85,11,1
85,3,1
26,27,1
26,3,1
26,25,1
26,42,1
26,13,2
26,17,1
26,26,2
26,0,5
