x,y,count
87,26,1
87,16,1
94,23,1
94,26,1
94,17,1
94,22,1
94,20,1
94,12,1
94,13,1
94,35,1
94,32,1
94,0,4
94,8,1
94,30,1
94,7,1
55,5,4
55,0,5
55,44,1
55,45,1
55,3,1
55,14,2
55,10,2
55,9,2
55,15,1
55,8,6
55,25,1
55,13,2
55,17,1
55,7,4
55,16,1
55,6,1
55,19,2
55,43,1
55,35,1
55,26,1
55,29,1
55,11,1
55,4,1
18,49,1
18,30,2
18,3,1
18,28,1
18,0,1
18,45,1
71,16,1
71,0,3
71,3,4
71,11,2
71,13,1
71,47,1
71,31,1
71,19,1
71,12,1
71,18,3
71,14,1
71,2,1
71,6,1
71,8,1
71,20,1
71,25,2
71,10,1
71,48,2
71,22,1
83,0,8
83,12,1
83,5,1
83,13,1
83,6,1
83,10,1
83,8,1
83,7,1
52,22,1
52,8,3
52,0,4
52,4,2
52,12,1
52,3,2
52,15,1
52,10,3
52,5,3
52,9,1
52,55,1
52,2,1
52,6,1
52,34,1
52,20,2
52,11,1
52,19,1
10,33,1
10,16,3
10,26,1
10,63,1
10,0,2
10,5,1
10,19,2
10,35,1
10,11,1
10,17,1
10,57,1
10,15,2
84,5,1
84,21,1
84,7,1
84,17,2
84,6,3
84,0,2
84,9,1
84,8,1
84,3,1
84,4,1
96,11,1
96,38,1
96,12,1
96,14,1
96,18,2
96,29,1
96,0,2
96,13,1
96,9,1
19,23,2
19,4,1
19,15,2
19,29,1
19,28,1
19,14,1
19,22,1
19,10,2
19,0,2
19,6,1
19,5,1
19,11,1
19,7,1
19,94,1
91,17,2
91,10,1
91,0,8
91,7,2
91,8,1
91,20,1
91,16,1
91,6,1
91,22,1
91,4,1
91,24,1
91,13,1
40,17,1
40,5,3
40,4,2
40,11,2
40,6,2
40,27,1
40,7,2
40,13,3
40,12,1
40,8,3
40,14,4
40,2,1
40,15,1
40,22,1
40,10,2
40,21,1
40,0,1
40,19,1
25,29,1
25,9,1
25,0,2
25,5,1
25,24,1
25,11,1
25,27,1
25,10,2
25,25,1
25,48,1
34,29,1
34,17,2
34,18,2
34,9,1
34,14,1
34,10,2
34,7,2
34,0,3
34,6,1
34,8,2
34,5,2
34,11,1
34,25,1
34,16,1
34,24,1
34,15,2
6,5,1
6,14,1
6,45,1
6,44,1
6,17,1
6,3,1
6,32,1
6,12,1
6,38,1
90,0,2
90,11,1
90,3,1
90,6,1
90,12,1
90,36,2
90,48,1
90,10,1
90,24,1
90,2,1
90,8,1
39,8,3
39,20,1
39,12,3
39,13,2
39,9,3
39,30,1
39,6,3
39,4,3
39,21,1
39,0,2
39,47,1
39,96,1
39,7,2
39,5,2
39,19,2
39,17,1
39,23,1
39,2,1
97,27,1
97,10,1
97,24,1
97,7,1
97,17,1
97,20,1
97,22,1
97,23,1
97,6,1
28,35,1
28,45,1
28,6,1
28,5,3
28,9,1
28,32,1
28,18,1
28,19,2
28,3,3
28,16,2
28,39,1
28,11,2
28,0,1
28,8,1
28,14,1
28,12,1
28,27,1
2,3,1
2,43,2
2,66,1
2,2,1
2,4,1
2,8,1
2,27,1
2,31,1
50,4,1
50,12,1
50,0,1
50,10,1
50,58,1
50,25,1
14,27,3
14,43,2
14,28,1
14,33,1
14,37,1
14,0,1
14,20,1
14,36,1
14,3,2
14,2,1
23,29,1
23,12,1
23,20,1
23,37,1
23,0,2
23,26,1
23,15,2
23,4,1
23,68,1
23,18,3
23,11,1
23,31,1
23,19,2
23,35,1
23,13,1
5,13,1
5,12,1
5,7,1
5,28,1
5,19,1
5,3,1
5,38,1
5,16,1
5,26,1
65,10,1
65,18,1
65,21,1
65,7,2
65,0,4
65,4,1
65,22,1
65,2,2
65,6,1
65,32,1
65,23,1
65,14,1
65,17,1
65,47,2
65,5,2
65,13,1
7,25,1
7,8,1
7,10,1
7,39,1
7,18,1
7,14,1
7,3,1
7,27,1
7,7,2
7,91,1
3,4,1
3,11,1
3,46,1
3,15,1
3,43,1
21,11,1
21,14,2
21,5,1
21,28,2
21,0,4
21,17,2
21,4,1
21,15,2
21,10,1
21,9,1
21,24,1
21,22,1
17,10,1
17,4,1
17,3,1
17,41,1
17,14,1
17,67,1
17,0,1
76,4,3
76,27,1
76,7,1
76,0,4
76,11,2
76,16,2
76,13,2
76,31,1
76,39,1
76,17,1
76,37,1
76,25,1
76,14,1
24,28,2
24,25,1
24,52,1
24,8,3
24,22,1
24,20,2
24,0,2
24,16,2
24,12,2
24,14,1
24,6,1
24,26,1
13,18,1
13,14,1
13,3,2
13,51,1
13,22,1
13,27,1
13,0,1
13,48,1
13,30,1
13,26,1
13,13,1
8,37,1
8,49,1
8,36,1
8,9,1
8,11,1
8,18,1
8,28,1
8,30,1
4,4,2
4,43,1
4,24,1
4,17,1
4,60,1
4,41,1
4,61,2
4,44,2
4,39,1
22,37,1
22,24,1
22,15,1
22,28,1
22,5,1
22,68,1
22,31,1
22,2,1
22,18,1
22,7,1
22,26,1
22,34,1
22,8,1
22,51,1
95,30,1
95,0,1
95,32,1
95,11,2
95,5,1
95,24,1
95,18,1
95,34,1
20,19,1
20,28,1
20,3,2
20,57,2
20,2,1
20,0,3
20,30,1
20,9,1
20,11,1
93,9,1
93,43,1
93,11,3
93,13,1
93,17,1
93,14,1
93,4,2
93,8,1
93,0,1
16,5,1
16,0,3
16,2,1
16,15,1
16,19,2
16,66,1
99,99,1
99,68,1
15,0,2
15,8,1
15,87,1
15,7,1
15,17,1
9,39,1
9,17,1
9,23,2
9,0,1
9,32,1
9,36,2
9,24,1
9,8,1
9,7,1
9,44,1
9,10,1
9,18,1
9,12,1
9,47,1
0,22,1
0,41,1
0,46,1
49,41,1
49,1,1
49,10,1
49,0,1
49,8,1
49,3,1
49,7,1
100,49,1
12,0,1
12,42,2
12,28,3
12,27,1
12,14,2
12,43,1
12,22,1
12,23,1
82,5,1
82,0,3
82,23,1
82,35,1
82,8,1
82,6,1
82,9,1
1,28,1
1,47,1
1,24,1
