x,y,count
41,14,1
41,46,1
41,70,1
41,33,2
41,20,1
41,35,1
41,38,1
41,79,1
41,24,2
41,21,1
41,61,1
41,10,1
41,13,2
41,18,1
41,42,1
41,23,1
41,68,1
41,69,1
50,17,1
50,18,1
31,43,4
31,80,1
31,58,1
31,34,2
31,26,2
31,44,2
31,15,3
31,28,4
31,36,1
31,5,2
31,21,1
31,55,1
31,54,1
31,20,2
31,51,1
31,48,1
31,30,2
31,31,3
31,13,2
31,64,1
31,39,1
31,60,1
31,69,1
31,24,2
31,78,1
31,18,1
31,70,1
31,22,1
31,27,2
31,33,1
31,56,1
31,12,1
31,62,1
31,37,1
31,42,1
20,27,1
20,71,2
20,59,1
20,14,1
20,30,2
20,32,1
20,58,1
20,51,1
20,50,1
20,57,1
20,62,1
20,35,1
20,17,1
20,56,1
20,46,1
20,41,2
20,65,1
20,15,1
20,70,1
20,60,1
20,79,1
20,80,1
89,34,1
89,36,1
89,8,1
89,15,1
89,33,1
89,62,1
89,12,1
89,92,1
89,23,1
89,17,1
66,10,1
66,38,1
66,28,1
66,18,1
66,82,1
66,83,1
66,49,1
66,9,1
66,5,1
66,7,1
66,3,1
66,24,1
66,22,1
66,32,1
70,25,1
70,9,2
70,14,1
70,31,1
70,23,1
70,18,1
70,16,1
40,25,1
40,31,2
40,5,1
40,30,1
40,28,1
40,39,1
40,8,1
40,10,1
40,32,2
40,15,2
40,62,2
40,65,1
40,23,1
40,18,1
40,71,1
40,67,1
40,21,1
40,73,2
40,22,2
40,29,2
40,57,1
40,13,1
40,1,1
40,17,1
40,9,1
40,79,1
40,46,1
40,54,1
40,41,1
40,60,1
40,44,1
86,15,1
86,11,1
86,95,1
86,57,1
86,31,1
86,21,1
86,13,1
86,42,1
86,41,1
48,2,2
48,24,1
48,21,1
48,38,1
48,30,2
48,13,1
48,78,1
48,6,1
48,40,2
48,32,2
48,11,1
48,12,1
48,31,1
48,23,1
48,42,1
96,40,1
96,59,1
96,70,1
96,16,1
96,9,1
95,39,1
95,31,1
95,20,1
95,33,1
95,34,1
95,64,1
95,44,1
95,45,1
46,24,2
46,30,1
46,10,1
46,14,1
46,21,2
46,58,1
46,35,1
46,33,4
46,29,1
46,11,1
46,25,1
46,26,1
46,60,1
46,42,2
46,63,1
46,16,1
46,15,1
46,5,2
46,31,1
46,54,2
46,17,1
46,28,1
46,18,1
46,57,1
46,36,1
55,64,1
55,19,3
55,12,2
55,26,1
55,22,3
55,14,2
55,21,1
55,31,1
55,32,1
55,2,1
55,11,2
55,16,1
55,27,1
55,51,1
55,17,1
55,13,2
55,8,1
55,49,1
55,40,1
55,9,1
55,45,1
55,41,1
55,56,1
55,94,2
42,36,1
42,85,1
42,22,2
42,30,3
42,6,2
42,5,2
42,32,1
42,13,1
42,67,1
42,15,2
42,40,1
42,17,1
42,56,1
42,29,1
42,38,1
42,23,2
42,11,2
42,31,2
42,24,1
